rank,company,revenue,profit,num. of employees,sector,city,state,Website
233,VF,13870.6,1259.8,75000,Apparel,Greenwood Village,CO,https://www.vfc.com
234,Corteva,13846,-959,21000,"Food, Beverages & Tobacco",Wilmington,DE,https://www.corteva.com
235,Las Vegas Sands,13739,2698,50000,"Hotels, Restaurants & Leisure",Las Vegas,NV,https://www.sands.com
236,Textron,13630,815,35000,Aerospace & Defense,Providence,RI,https://www.textron.com
237,Kellogg,13578,960,31000,"Food, Beverages & Tobacco",Battle Creek,MI,https://www.kelloggcompany.com
238,Guardian Life Ins. Co. of America,13476.7,679.8,9032,Financials,New York,NY,https://www.guardianlife.com
239,Qurate Retail,13458,-456,25314,Retailing,Englewood,CO,https://www.qurateretail.com
240,Core-Mark Holding,13329.2,57.7,8555,Wholesalers,Westlake,TX,https://www.core-mark.com
241,Community Health Systems,13210,-675,71500,Health Care,Franklin,TN,https://www.chs.net
242,Kinder Morgan,13209,2190,11086,Energy,Houston,TX,https://www.kindermorgan.com
243,BJ's Wholesale Club,13190.7,187.2,27231,Retailing,Westborough,MA,https://www.bjs.com
244,State Street,13131,2242,39103,Financials,Boston,MA,https://www.statestreet.com
245,Ameriprise Financial,13103,1893,12500,Financials,Minneapolis,MN,https://www.ameriprise.com
246,Global Partners,13081.7,35.9,3860,Wholesalers,Waltham,MA,https://www.globalp.com
247,United States Steel,12937,-630,27500,Materials,Pittsburgh,PA,https://www.ussteel.com
248,L Brands,12914.2,-366.4,59950,Retailing,Columbus,OH,https://www.lb.com
249,MGM Resorts International,12899.7,2049.1,72000,"Hotels, Restaurants & Leisure",Las Vegas,NV,https://www.mgmresorts.com
250,L3Harris Technologies,12856,1333,50000,Aerospace & Defense,Melbourne,FL,https://www.l3harris.com
251,DISH Network,12807.7,1399.5,16000,Telecommunications,Englewood,CO,https://www.dish.com
252,Lithia Motors,12672.7,271.5,14320,Retailing,Medford,OR,https://www.lithiainvestorrelations.com
253,DTE Energy,12669,1169,10700,Energy,Detroit,MI,https://www.dteenergy.com
254,American Family Insurance Group,12633.2,455.9,13531,Financials,Madison,WI,https://www.amfam.com
255,Farmers Insurance Exchange,12592.5,55.3,10980,Financials,Woodland Hills,CA,https://www.farmers.com
256,Consolidated Edison,12574,1343,14890,Energy,New York,NY,https://www.conedison.com
257,LKQ,12506.1,541.3,51000,Wholesalers,Chicago,IL,https://www.lkqcorp.com
258,Sempra Energy,12443,2197,13969,Energy,San Diego,CA,https://www.sempra.com
259,Edison International,12347,1284,12937,Energy,Rosemead,CA,https://www.edisoninvestor.com
260,CenterPoint Energy,12301,791,14262,Energy,Houston,TX,https://www.centerpointenergy.com
261,Quanta Services,12112.2,402,40300,Engineering & Construction,Houston,TX,https://www.quantaservices.com
262,Murphy USA,12101.3,154.8,7250,Retailing,El Dorado,AR,https://www.murphyusa.com
263,Expedia Group,12067,565,25400,Retailing,Seattle,WA,https://www.expediagroup.com
